OGC_FID,status,licensetype,issuedate,premisesaddress,x,y,business
2989,ACTIVE,47,2011-04-08T,"25 EAST E ST, ENCINITAS, CA  92024-3612",6242224,1961522,Solace & Moonlight Lounge
2990,ACTIVE,41,2008-12-02T,"203 MAIN ST, VISTA, CA  92084-6009",6258174.7608,2018546.89808,Urbn Coal Fired Pizza
2991,ACTIVE,21,2011-06-01T,"687 S COAST HIGHWAY 101, ENCINITAS, CA  92024-3540",6242031.05922,1961207.75395,Whole Foods Market
2992,ACTIVE,41,2008-10-30T,"307 MAIN ST, VISTA, CA  92084-6012",6258468.80628,2019075.82531,Curbside Cafe
2993,ACTIVE,47,2008-11-10T,"1221 VISTA WAY, OCEANSIDE, CA  92054-6452",6224367.5,2009259.965,Hunter Steakhouse
2994,ACTIVE,47,2009-10-23T,"356 6TH AVE, SAN DIEGO, CA  92101",-1,-1,Residence Inn By Marriott
2995,ACTIVE,48,2008-12-02T,"3175 INDIA ST, SAN DIEGO, CA  92103-6014",6277237.84112,1849012.50472,Starlite
2996,ACTIVE,47,2008-10-23T,"2445 HOTEL CIRCLE PL, SAN DIEGO, CA  92108-2813",6273468.91328,1857909.4773,Hunter Steakhouse
2997,ACTIVE,20,2008-12-11T,"8899 LA MESA BLVD, LA MESA, CA  91941-5139",6329615.78679,1861902.40212,Circle K 76 2708675
2998,ACTIVE,20,2008-12-11T,"14141 TWIN PEAKS RD, POWAY, CA  92064",6324249.91113,1936426.7476,Circle K 76 2702971
2999,ACTIVE,20,2008-12-11T,"10219 MAST BLVD, SANTEE, CA  92071-2735",6339028.15405,1891548.36112,Circle K 76 2702955
3000,ACTIVE,20,2008-12-11T,"1061 W EL NORTE PKWY, ESCONDIDO, CA  92026",6319146.625,1999838.241,Circle K 76 2705213
3001,ACTIVE,20,2009-01-15T,"190 W SAN MARCOS BLVD, SAN MARCOS, CA  92069-2933",6281563.08691,1996116.15691,Circle K 76 2705250
3002,ACTIVE,20,2008-12-11T,"3350 COLLEGE BLVD, OCEANSIDE, CA  92056-4516",6241501.62712,2012294.69492,Circle K 76 2705246
3003,ACTIVE,20,2008-12-11T,"17011 W BERNARDO DR, SAN DIEGO, CA  92127-1457",6306740.91856,1953442.9873,Circle K 76 2705703
3004,ACTIVE,47,2009-10-29T,"1650 DESCANSO AVE, SAN MARCOS, CA  92078-2504",6271563.99252,1999130.10494,Chins Szechwan
3005,ACTIVE,21,2009-04-22T,"9850 HIBERT ST, SAN DIEGO, CA  92131-1020",6296157.22217,1913554.73457,Trader Joes 221
3006,ACTIVE,41,2008-12-08T,"1268 E AUTO PKWY, SP R004, ESCONDIDO, CA  92029",6302135.97753,1984172.0761,Sushiya
3007,ACTIVE,20,2008-11-12T,"899 PALOMAR AIRPORT RD, CARLSBAD, CA  92011-1109",6233986.22746,1989596.56173,Palomar Mobil
3008,ACTIVE,48,2008-11-06T,"4766 CLAIREMONT MESA BLVD, SAN DIEGO, CA  92117-2006",6273575.57036,1885046.60652,Watering Hole The
3009,ACTIVE,20,2009-01-21T,"8400 MIRAMAR RD, STE 200, SAN DIEGO, CA  92126-6330",6288460.07583,1905532.6807,Do Bianchi
3010,ACTIVE,21,2010-12-16T,"16617 DOVE CANYON RD, SAN DIEGO, CA  92127",6298012.47728,1950281.71734,Fresh & Easy Neighborhood Market Store 1224
3011,ACTIVE,20,2008-11-07T,"13835 MANGO DR, SAN DIEGO, CA  92014-3101",6255688.83631,1926626.15746,7 Eleven 13628
3012,ACTIVE,20,2008-11-17T,"2985 VIA LAS ROSAS, OCEANSIDE, CA  92054-6321",6231669.09426,2013245.86132,7 Eleven 18159
3013,ACTIVE,47,2009-08-17T,"2655 VISTA WAY, OCEANSIDE, CA  92054-6342",6231249.555,2012004.22222,Romanos Macaroni Grill
3014,ACTIVE,47,2009-08-17T,"202 E VIA RANCHO PKWY, ESCONDIDO, CA  92025-8005",6236875.005,2025732.217,Romanos Macaroni Grill
3015,ACTIVE,20,2008-11-03T,"6011 MISSION GORGE RD, SAN DIEGO, CA  92120-4007",6301058.43017,1865853.88252,Mission Gorge Ultramar
3016,ACTIVE,47,2009-08-17T,"2015 BIRCH RD, STE 2500, CHULA VISTA, CA  91915-2002",6340982.07878,1806512.76041,Romanos Macaroni Grill
3017,ACTIVE,21,2008-12-24T,"6189-91 LAKE MURRAY BLVD, LA MESA, CA  91942-2501",6323188.934,1866268.892,Vine Liquor
3018,ACTIVE,21,2009-02-05T,"2405 UNIVERSITY AVE, SAN DIEGO, CA  92104-2721",6288450.17576,1853173.69451,
3019,ACTIVE,20,2009-02-04T,"1025 EUCLID AVE, SAN DIEGO, CA  92114-1022",6304947.08938,1841483.04257,
3020,ACTIVE,20,2008-11-07T,"1699 E MAIN ST, EL CAJON, CA  92021-5205",6356281.56673,1875688.69967,Exxon
3021,ACTIVE,41,2009-01-26T,"377 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008-2918",6225045.52756,2003048.60481,Senor Grubbys
3022,ACTIVE,20,2009-03-24T,"945 TAMARACK AVE, CARLSBAD, CA  92008-3414",6229763.5214,2000704.68206,Carlsbad 76
3023,SUREND,20,2008-12-18T,"2943 STATE ST, STE 102, CARLSBAD, CA  92008-2337",6225188.60328,2003664.41728,Vigiluccis Gourmet Market & Catering
3024,ACTIVE,41,2009-03-17T,"4646 CONVOY ST, STE 107, SAN DIEGO, CA  92111-2315",6283429.08673,1881143.56329,Shabu Shabu House
3025,ACTIVE,41,2008-11-12T,"2833 AVENIDA DE PORTUGAL, SAN DIEGO, CA  92106-2704",-1,-1,
3026,ACTIVE,41,1994-01-01T,"3829 PLAZA DR, STE 601, OCEANSIDE, CA  92056-4626",6242992.51916,2011727.19811,Chef Chin
